student_id,student_first_name,student_last_name,student_gender,student_date_of_birth,student_phone,student_email,student_password,student_country,student_city,student_address,student_institution_program_id,student_year_number,student_institution_enrollment_date,credit_hour_price
1,Janela,Wortman,Female,11/18/1927,501-766-6773,WortmanJanela1@Uni.com,Janela1,United States,Little Rock,2 Raven Street,1,1,12/3/1932,1500
2,Shermie,Charles,Male,9/14/1973,281-175-0533,CharlesShermie2@Uni.com,Shermie2,United States,Humble,1 Knutson Avenue,1,1,7/19/2009,1500
3,Neely,Selwood,Female,7/11/1979,255-469-5803,SelwoodNeely3@Uni.com,Neely3,United Kingdom,Belfast,32247 Nobel Junction,1,1,3/11/1912,1500
4,Prescott,Viner,Male,2/11/1937,504-648-2470,VinerPrescott4@Uni.com,Prescott4,United States,New Orleans,431 Weeping Birch Pass,1,1,5/1/1914,1500
5,Aurelea,Tolcher,Female,10/16/1922,513-492-0633,TolcherAurelea5@Uni.com,Aurelea5,United States,Cincinnati,81532 Buhler Circle,1,1,8/27/1990,1500
6,Sophronia,Keith,Female,12/15/1905,304-976-2158,KeithSophronia6@Uni.com,Sophronia6,United States,Huntington,0 Cambridge Center,1,1,6/19/1972,1500
7,Julius,Silcocks,Male,9/7/1985,336-431-2971,SilcocksJulius7@Uni.com,Julius7,United States,Winston Salem,9856 Kinsman Parkway,1,1,8/21/2021,1500
8,Zorina,Maudling,Female,5/24/1917,419-787-3288,MaudlingZorina8@Uni.com,Zorina8,United States,Toledo,5977 Warrior Center,1,1,12/31/1912,1500
9,Mignonne,Oakhill,Female,8/9/1937,972-308-1339,OakhillMignonne9@Uni.com,Mignonne9,United States,Dallas,59 Helena Trail,1,1,2/10/2007,1500
10,Engelbert,Wheelhouse,Male,8/16/2010,408-733-5751,WheelhouseEngelbert10@Uni.com,Engelbert10,United States,San Jose,717 Becker Way,1,1,8/25/2018,1500
11,Brinn,Clandillon,Female,12/5/1910,402-741-7456,ClandillonBrinn11@Uni.com,Brinn11,United States,Lincoln,813 Homewood Drive,1,1,1/22/1934,1500
12,Laure,Nequest,Female,10/1/1920,561-585-0770,NequestLaure12@Uni.com,Laure12,United States,Boca Raton,87 Crest Line Center,1,1,6/21/2010,1500
13,Debor,Sutch,Female,9/13/1977,330-480-7915,SutchDebor13@Uni.com,Debor13,United States,Akron,587 Grasskamp Lane,1,1,4/1/1988,1500
14,Edithe,Favel,Female,3/9/1914,651-446-6481,FavelEdithe14@Uni.com,Edithe14,United States,Saint Paul,8858 Bellgrove Lane,1,1,12/17/1989,1500
15,Emile,Manna,Male,11/27/1942,501-388-3692,MannaEmile15@Uni.com,Emile15,United States,Little Rock,964 Holy Cross Lane,1,1,11/24/1960,1500
16,Charmane,Assard,Female,1/8/2009,254-555-6727,AssardCharmane16@Uni.com,Charmane16,United States,Waco,86 Pleasure Parkway,1,1,9/23/1941,1500
17,Halli,Henriquet,Female,9/12/1948,941-541-0423,HenriquetHalli17@Uni.com,Halli17,United States,Naples,5047 Daystar Road,1,1,8/7/2014,1500
18,Bryan,Dunsford,Male,4/8/1959,714-488-3415,DunsfordBryan18@Uni.com,Bryan18,United States,Anaheim,80632 Prentice Plaza,1,1,10/31/1934,1500
19,Randell,Beamiss,Male,5/20/1983,514-177-9636,BeamissRandell19@Uni.com,Randell19,United Kingdom,Langley,26 Reinke Parkway,1,1,10/23/1960,1500
20,Claudia,Meindl,Female,2/4/1902,702-652-3154,MeindlClaudia20@Uni.com,Claudia20,United States,Reno,7355 Autumn Leaf Hill,1,1,12/13/1903,1500
21,Janaye,Ryce,Female,3/12/2002,717-724-2003,RyceJanaye21@Uni.com,Janaye21,United States,Harrisburg,02 Meadow Vale Pass,1,1,4/4/1917,1500
22,Elaine,Jayume,Female,3/1/1910,303-797-8293,JayumeElaine22@Uni.com,Elaine22,United States,Denver,5455 Warner Court,1,1,9/20/1910,1500
23,Royall,MacElane,Male,11/6/2003,201-455-8912,MacElaneRoyall23@Uni.com,Royall23,United States,Newark,02401 Everett Drive,1,1,7/17/1939,1500
24,Zach,Pachmann,Male,6/8/2021,760-433-1496,PachmannZach24@Uni.com,Zach24,United States,Huntington Beach,8661 Aberg Center,1,1,6/14/1913,1500
25,Ursuline,Swedeland,Female,2/7/1973,205-885-1176,SwedelandUrsuline25@Uni.com,Ursuline25,United States,Birmingham,12 Buena Vista Way,1,1,9/30/2001,1500
26,Candide,Seedhouse,Female,12/21/1959,973-822-1350,SeedhouseCandide26@Uni.com,Candide26,United States,Newark,6022 Veith Road,1,1,11/20/1935,1500
27,Irwin,Singyard,Male,1/8/1966,774-787-0211,SingyardIrwin27@Uni.com,Irwin27,United Kingdom,Manchester,20 Norway Maple Way,1,1,5/16/1995,1500
28,Logan,Ghion,Male,9/14/1916,512-610-0932,GhionLogan28@Uni.com,Logan28,United States,Austin,936 Northwestern Street,1,1,9/7/2018,1500
29,Caro,Drewell,Female,6/7/1977,530-132-3147,DrewellCaro29@Uni.com,Caro29,United States,Sacramento,5416 Ramsey Junction,1,1,9/29/1993,1500
30,Joelle,Broschke,Female,6/5/1990,260-431-6254,BroschkeJoelle30@Uni.com,Joelle30,United States,Fort Wayne,8820 Mayfield Terrace,1,1,9/21/1941,1500
31,Dorene,Safe,Female,11/7/1965,303-719-7700,SafeDorene31@Uni.com,Dorene31,United States,Denver,514 American Avenue,1,1,8/20/1959,1500
32,Tuck,Wahner,Male,8/13/1999,169-364-0999,WahnerTuck32@Uni.com,Tuck32,United Kingdom,Marston,972 Sunnyside Lane,1,1,7/7/1981,1500
33,Rustie,Erickssen,Male,4/10/2000,573-827-9253,ErickssenRustie33@Uni.com,Rustie33,United States,Columbia,3019 Lukken Street,1,1,6/10/2021,1500
34,Rosa,Schlag,Female,3/20/1962,347-428-4338,SchlagRosa34@Uni.com,Rosa34,United Kingdom,Birmingham,76 Hallows Crossing,1,1,1/6/1907,1500
35,Shepard,Paolillo,Male,11/24/2011,562-818-2931,PaolilloShepard35@Uni.com,Shepard35,United States,Whittier,08939 Linden Court,1,1,6/28/1987,1500
36,Wiley,Tudge,Male,3/20/1979,502-771-5650,TudgeWiley36@Uni.com,Wiley36,United States,Louisville,612 Summerview Court,1,1,10/9/1933,1500
37,Claudette,Fassbindler,Female,10/31/1971,414-245-9769,FassbindlerClaudette37@Uni.com,Claudette37,United States,Milwaukee,1286 Thompson Avenue,1,1,5/3/1924,1500
38,Chad,Lippiatt,Female,7/5/2011,863-366-3279,LippiattChad38@Uni.com,Chad38,United States,Lakeland,94685 Johnson Crossing,1,1,9/9/1970,1500
39,Devan,Forre,Female,3/11/1943,815-250-6282,ForreDevan39@Uni.com,Devan39,United States,Rockford,23 Butternut Terrace,1,1,10/12/2006,1500
40,Shalne,Genty,Female,8/15/1909,626-851-6653,GentyShalne40@Uni.com,Shalne40,United States,Pasadena,83 Derek Park,1,1,12/10/1911,1500
41,Giana,Kennifeck,Female,6/16/1961,816-119-7730,KennifeckGiana41@Uni.com,Giana41,United States,Kansas City,3750 Acker Drive,1,1,1/7/1928,1500
42,Jaquenetta,Phizackerly,Female,4/23/1905,212-837-9641,PhizackerlyJaquenetta42@Uni.com,Jaquenetta42,United States,Jamaica,6068 Shopko Trail,1,1,12/25/1908,1500
43,Robinet,Stickels,Female,5/31/1947,443-548-4559,StickelsRobinet43@Uni.com,Robinet43,United States,Baltimore,0 1st Center,1,1,10/19/1923,1500
44,Witty,Padrick,Male,6/5/2016,401-341-6441,PadrickWitty44@Uni.com,Witty44,United States,Providence,0 Holy Cross Drive,1,1,5/8/1973,1500
45,Sean,Isacoff,Male,10/22/2005,213-191-1355,IsacoffSean45@Uni.com,Sean45,United States,Van Nuys,734 Scott Point,1,1,1/29/1975,1500
46,Briano,Blown,Male,7/15/1930,404-186-8442,BlownBriano46@Uni.com,Briano46,United States,Cumming,3271 Ludington Court,1,1,4/4/2010,1500
47,Joellyn,Spinello,Female,10/1/2015,918-466-7683,SpinelloJoellyn47@Uni.com,Joellyn47,United States,Tulsa,57148 Anderson Alley,1,1,11/18/2020,1500
48,Randolph,Stannislawski,Male,3/15/1996,203-644-2659,StannislawskiRandolph48@Uni.com,Randolph48,United States,New Haven,8536 5th Road,1,1,2/16/2006,1500
49,Aurlie,Kilshaw,Female,1/1/1970,336-783-7685,KilshawAurlie49@Uni.com,Aurlie49,United States,Greensboro,709 Dayton Circle,1,1,12/4/1943,1500
50,Faber,Avarne,Male,8/19/1940,513-259-0852,AvarneFaber50@Uni.com,Faber50,United States,Cincinnati,2792 Loeprich Drive,1,1,11/24/1958,1500
51,Cesya,Blackburn,Female,7/1/1917,313-787-1891,BlackburnCesya51@Uni.com,Cesya51,United States,Detroit,9890 Village Green Avenue,1,1,4/3/1950,1500
52,Rosette,Ulyat,Female,8/16/1992,210-443-6956,UlyatRosette52@Uni.com,Rosette52,United States,San Antonio,1191 Crownhardt Junction,1,1,5/11/1914,1500
53,Hailee,Simioni,Female,2/13/2019,602-599-1614,SimioniHailee53@Uni.com,Hailee53,United States,Phoenix,09553 Artisan Point,1,1,10/8/2002,1500
54,Lucias,Renforth,Male,12/2/1951,312-867-5022,RenforthLucias54@Uni.com,Lucias54,United States,Chicago,568 Mitchell Pass,1,1,2/5/2012,1500
55,Hughie,Speight,Male,3/9/1987,612-806-3433,SpeightHughie55@Uni.com,Hughie55,United States,Minneapolis,65 Merrick Hill,1,1,2/13/1908,1500
56,Silvain,Peartree,Male,5/5/1927,504-661-1651,PeartreeSilvain56@Uni.com,Silvain56,United States,New Orleans,5738 8th Alley,1,1,11/12/1952,1500
57,Adham,McTurley,Male,3/28/1964,515-195-8582,McTurleyAdham57@Uni.com,Adham57,United States,Des Moines,57 Buhler Terrace,1,1,5/9/1985,1500
58,Lorita,Volette,Female,11/28/1986,360-270-9997,VoletteLorita58@Uni.com,Lorita58,United States,Seattle,684 Maple Wood Crossing,1,1,10/5/1939,1500
59,Nester,Organ,Male,12/1/1934,904-347-9768,OrganNester59@Uni.com,Nester59,United States,Jacksonville,545 Browning Parkway,1,1,7/25/1947,1500
60,Angelo,Mines,Male,1/15/1958,432-293-1543,MinesAngelo60@Uni.com,Angelo60,United States,Odessa,9 Cody Park,1,1,7/9/1913,1500
61,Julienne,Lucey,Female,10/4/1918,759-138-6807,LuceyJulienne61@Uni.com,Julienne61,United Kingdom,Birmingham,986 Eggendart Crossing,1,2,4/29/1909,1500
62,Vittorio,Schiersch,Male,4/20/1932,254-447-8732,SchierschVittorio62@Uni.com,Vittorio62,United States,Waco,0510 Leroy Crossing,1,2,12/4/1950,1500
